,SBS,numberOfFeatures,SFS,numberOfFeatures,EFS,numberOfFeatures
DecisionTreeClassifier,0.9721643035863219,13.0,0.9711217681401167,5.0,0.9776897414512093,5
KNeighborsClassifier,0.9741451209341117,6.0,0.9741451209341117,6.0,0.9744578815679733,3
naiveBayes_GaussianNB,0.862698081734779,7.0,0.8595704753961635,3.0,0.871768140116764,6
LogisticRegression,0.8492493744787324,8.0,0.8323603002502085,3.0,0.8499791492910759,5
Neural Network,0.8949124270225187,1.0,0.9740408673894911,7.0,0.9696622185154296,3
SVM,0.8433069224353629,5.0,0.8182860717264386,3.0,0.8332985821517932,2
RandomForest,,,,,0.9985404503753128,3
